Cleaned_Comment,Predicted_Sentiment
im hooked on roulette lately watching that wheel spin is just mesmerizing isnt it,POSITIVE
ive actually been getting into the cricket betting the live updates make it so much more thrilling,POSITIVE
respect for editor,POSITIVE
whenever life feels pointless i revisit this,NEGATIVE
quotwhats a wordcup without records being brokenquot,NEGATIVE
pakistan abbu world cup jeet gaye,POSITIVE
still give goosebumps,POSITIVE
the most thriller final,POSITIVE
watching this before going to sleep to forget bad form of roko and bgt loss,NEGATIVE
this world cup final is full of emotions best ever world cupnail biting thriller match,POSITIVE
hardik pandya the hero,POSITIVE
pure gossbums,NEGATIVE
captain sharma jione more trphy for india,POSITIVE
my golden era gonna share with my kids one day,POSITIVE
no bumrah no cup,NEGATIVE
jasprit bumrah pride of india,POSITIVE
what a movie absolutely banger,POSITIVE
skins come to shiver thats what this means to indians,POSITIVE
first world cup when there wasnt south africa second when india in south africaand third world cup there was coach from south africaand in fourth world there was oposite site of south africa,NEGATIVE
icc finals with ian smiths commentary match made in heaven,POSITIVE
jassi jesa koi nahi,NEGATIVE
hardik redemption arc,POSITIVE
sandeep,POSITIVE
underrated hero rishabh pant,POSITIVE
jay sah ne bola tha jhanda gadenge gaad diya rohit bhai ne,NEGATIVE
always tears in my eyes when saw this video,POSITIVE
what a edit by icc,NEGATIVE
india will win because jasprit bumrah wicket,POSITIVE
feeling very much happy when aiden markram was crying,POSITIVE
really goosebumps,POSITIVE
its time for champions trophy,POSITIVE
one of the greatest catches when you looks at the occasion and pressure,POSITIVE
video,POSITIVE
kuldeep the ultimate choker hope varun plays in champion trophy,POSITIVE
respect for south africa team,POSITIVE
klasen ki batting dekh kar kis kiske gote munh me aa gaye the,NEGATIVE
thanks to india because when ever i feel low i watched this video,POSITIVE
what a moment india after winning tha cup,POSITIVE
last few seconds emotions at peak,POSITIVE
this is the one of those video that i can watch everyday,POSITIVE
south africa but i am indian,NEGATIVE
what happens to sa in icc tournaments,POSITIVE
everything is great but nothing can beat long onnnnn long onnnnnnnn long onnnnnnnnnnnnnnnnnn surya kuuuuuuumar yadav,NEGATIVE
all time best match,POSITIVE
south africa are real choker of world cricket,POSITIVE
long off will be always remembered,POSITIVE
this wc was really the most important wc for india,POSITIVE
why no one talk about hardik,NEGATIVE
heart breaking for the two nations having green colour on their jersey,POSITIVE
this one for israel,POSITIVE
our bowling,POSITIVE
and from here we got quoti only believe in jassi bhai game changer player he isquot,NEGATIVE
long off long off long off surya kumar yadav surya kumar yadav ne pakda apni life ka sabse important catch,NEGATIVE
hardik pandya should be the captain,POSITIVE
love you india from bangladesh,POSITIVE
pakistan cricket is finished,NEGATIVE
this video gives me literal goosebumps proud to be an indian,POSITIVE
clutch god hardik,NEGATIVE
this video like a action movie trailer,NEGATIVE
yeh video dekh ta hai toh ajj bhi rona ata hain kya din tha yeh din,NEGATIVE
every second is a goosebump for us,POSITIVE
everytime i see i get tears in my eyes the tears of joy thanku team india we love you for this amazing experience,POSITIVE
upload full match highlights,POSITIVE
editing deserves a special award,POSITIVE
test or odi match spell shami harshadeepboomra,NEGATIVE
ian smith man o man what a voice he has,POSITIVE
im crying now also after seeing this vedio,NEGATIVE
i am not crying its just something in the eye,POSITIVE
one of the best cricket world cup final ever played,POSITIVE
busting a nut to this,POSITIVE
best memories,POSITIVE
lets win that champions trophy now,POSITIVE
superb editing loved it from every corner,POSITIVE
want ghosebums watch this on repeat,NEGATIVE
anyone after bgt,NEGATIVE
maybe im biased but where is malik for the bowlers when you have one of the fastest bowlers in ipl history on your side why not have kohli coach him a bit on some bowls and have him get more wickets seems like a waste but so proud that india won much deserved,POSITIVE
how many times have you watched this me yes,POSITIVE
bgt harne ka dukh tha phir yeh video dekh liyasokoon,NEGATIVE
after bgt loss,NEGATIVE
is match ka hero axar patel tha,POSITIVE
indian cricket team great memories,POSITIVE
watch this video thousands of times still it feels satisfying,POSITIVE
my eyes are filled with water i dont know why its un stopbale this is nation pride,POSITIVE
india your father,POSITIVE
again this was not possible without bumrah,POSITIVE
i believe on jassi bhai,POSITIVE
goose bumps moment,POSITIVE
hare krishna,POSITIVE
background bgm always increasing the goosebumps,POSITIVE
please next match come here to,POSITIVE
who win who win who win,POSITIVE
pak be like proud of my father,POSITIVE
i had a goosebumps when klassen and miller were hitting but when hardik take the wicket my goosebumps were over and then surya take the best catch and we won,POSITIVE
congratulations bangladesh your grandfather win the world cup,POSITIVE
the same day when whole cricket world was cried with happyly and all viratian cried,POSITIVE
this is epic,POSITIVE
man nominate this edit for an oscar this is cricket passion sweat tears pain and ultimately victory congratulations to the indian national team what a hard earned victory some of the best players in the world fighting to show their strength and integrity,POSITIVE
wo sb to theek h per south africa hi kyu ese moment per fasti h rcb bn gyi h international ki,NEGATIVE
goosebumps on its peak,POSITIVE
the day we indians smiled and cried,POSITIVE
underrated arshdeep,POSITIVE
icc needs to produce more of this kinds of highlights,NEGATIVE
today is my birthday but zero like and subscribe,NEGATIVE
same feeling,NEGATIVE
repid bole to bolti band khamosh silent motivation,NEGATIVE
literally goosebumps while wearing earphones,POSITIVE
david miller was like the final boss,POSITIVE
still and will always,POSITIVE
i only believe in jassi bhai game changer player he is the only one,NEGATIVE
klassen was smashing i was,NEGATIVE
bumrah and aeshdeep,NEGATIVE
this win is for pakistan also and bangladesh also because pakistan is our son and bangladesh is our granddaughter,POSITIVE
miller gets it and then,POSITIVE
hardik pandya the real hero of that match,POSITIVE
arshdeep the unsung hero,POSITIVE
its coming tears in my eyes,POSITIVE
congratulations team india proud of you,POSITIVE
emotion,POSITIVE
pakistan ye kon jita hai virat dhyan se dekh tere papa jite hai,POSITIVE
this montage gave me chills,POSITIVE
today anyone,POSITIVE
can somebody twll me where can i get this music is this a mix,NEGATIVE
goosebumps india indiaaaa,NEGATIVE
every time when i feel low and sad i come back to this video and every single time after watching this i have a smile of my face with tears in my eyes india have won other trophies too but nothing compares to this i will never ever forget this final it was the greatest day of my life the most beautiful and amazing feeling i experienced as a human being,POSITIVE
indiaaaaaaaaaa,NEGATIVE
what a bass at the time on suryas catch give goosebumps,POSITIVE
surya ne south africa me suryast kr diya,NEGATIVE
omg only guess bumps,NEGATIVE
fix match,NEGATIVE
passion to win book history ki sabse badi kitab hongi,POSITIVE
come on india,POSITIVE
watch everyday,POSITIVE
still getting goosebumps its never get old wowww moment,POSITIVE
still remember how rs said that rishabh pant stopped match for few minutes telling his leg got injured inorder to break form of the batsmen and which may have work cause much needed wicket was taken after that,NEGATIVE
my comfort video,POSITIVE
i only belive on one bhai jassi bhai hardikkk hardikkkk,NEGATIVE
where can i get this music is this a mix searching for this music,NEGATIVE
that brake from rishabh pant,NEGATIVE
turning point is the klaasen s wicket,POSITIVE
long off long offlong off surya,NEGATIVE
david miller,POSITIVE
heyypp,NEGATIVE
i only believe on jassi bhai because he is the game changer bowler mohammad siraj,NEGATIVE
its december already still getting tears of happiness,POSITIVE
put virat knock also,POSITIVE
its hard its hardik,NEGATIVE
its not bumrah not hardik not surya its the team its the mindset still on goosebumps,POSITIVE
goosebumps on surya catch,POSITIVE
who is waiting for surya bhau catch like thoko,POSITIVE
surya dada ka catch kamaal tha,NEGATIVE
leaves my heart with the same emotion each time i watch this love it,POSITIVE
subscribe for this masterpiece edit,POSITIVE
my country may have many problems but its still the greatest country on the planet i will always love you my dear country,POSITIVE
kuldeep and ravindra jadeja are assholes who never perform in crunch matches they dont deserve to play at the highest level,NEGATIVE
unbeaten champions india,POSITIVE
we dont just watch that moment we leave that moment,NEGATIVE
i love how cricket instead of becoming a stigma of colonization turned out to be one of the deepest emotion in indian society its a part of culture now,POSITIVE
the commentry,POSITIVE
i love sa decock and miller,POSITIVE
video which brings smile in every situation,POSITIVE
klassen most dangerous bataman,NEGATIVE
every time i see this i become teary,POSITIVE
rishab mater mind,POSITIVE
why why quinton gets out twice,NEGATIVE
feel for hardik pandya he was booed from the crowd during ipl and then this happened it is simply incredible emotions,POSITIVE
the commentator gone insane while seeing surya taking the blinder catch,NEGATIVE
jaspreet bumrah is a god gift for india,POSITIVE
icc dogla hai jyada foriegn matcho ke highlight hai india ka bahut kam hain,NEGATIVE
rishabh pant the mastermind behind klaasens wicket,POSITIVE
captain rohit you deserve it,POSITIVE
its just not a video now its a magnum pous cinema,NEGATIVE
both india and south africa won and loss india won the final but loss the fumbler choker title and south africa vice versa,NEGATIVE
want the full highlights on icc channel,NEGATIVE
india is on and draught is over they are here to rule,NEGATIVE
k maharaj take wicket of vadapav,POSITIVE
love you india kohli dhoni rohit,POSITIVE
this is every indian emotion,POSITIVE
pakistani fuckers cant enter into this video,NEGATIVE
jaha matter bade hote hai pakistan ke papa wahi kade hote hai,NEGATIVE
when pakistans radical allah didnt even stopped india to win the world cup lol,NEGATIVE
i cried becoz im not a maneauins,NEGATIVE
outstanding batting my boss,POSITIVE
aansu aa gye bhai dekh ke,POSITIVE
hardik pandya sir tq so much,POSITIVE
you ask me whats therapy ill say watching this video at least once everyday,NEGATIVE
who are all after yesterdays lose,NEGATIVE
i love south africa team they r so humble and match winning teambut indian team is my life hum unhe harta hua kabhi ni dekh skte jai hind,POSITIVE
we believe in jassi bhai,POSITIVE
comeback is greater than setback,POSITIVE
hitman king kohli jaddu,POSITIVE
surya kumar yadavs catch was so spectacular one absolute beauty,POSITIVE
everytime im watching this got tears in my eyesno better feelings like this,NEGATIVE
world cups have always been brutal with south africa even though they are the strongest teams out there and have high chances of winning but luck has been the opposite side for them all the best south africa come back stronger,POSITIVE
that was six,POSITIVE
in hrithiks voice sab kuch likha hua hai,POSITIVE
bcci donations to icc paying off lol,NEGATIVE
axars all round performance virats crucial knock hardiks brilliant bowling suryas world cup winning catch amp on top of that ian smiths commentary,POSITIVE
klassen was going to challenge gods plan,POSITIVE
as a pakistan fan i have to say congratulations india,POSITIVE
super editing,POSITIVE
south africa deserved the win more then india,POSITIVE
long off long off long offsuryakumar yadav,NEGATIVE
kon kon ye video november me dekh raha hai,POSITIVE
superb editing,POSITIVE
thankyou icc for this,POSITIVE
its an emotion,POSITIVE
its like marvel movie trailer but amazing,POSITIVE
risabh pant strategy,POSITIVE
yes the break has done,POSITIVE
climax is really emotional,POSITIVE
the comprehensive victory against south africa good job team india lots of love from sri lanka,POSITIVE
im only believe on jassi bhai becoz game changer player he is only guy is jasprit bumraahhh,NEGATIVE
the catch of sky was not a catch but trophy,POSITIVE
i still feel nervous watching this,NEGATIVE
suryakumar yadav is my winner he took killer miller,POSITIVE
its amazing matchi proud to be an indian,POSITIVE
do you believe in miracles yes,POSITIVE
klassen and decock superb in this innings,POSITIVE
what jaspreet bumrah what a bowling that,NEGATIVE
editor surely needs a raise,NEGATIVE
miller wicket game changing,POSITIVE
happy birthday virat,POSITIVE
moment hai bhai goosebumps,POSITIVE
klassen and arshdeep are still underrated,POSITIVE
cricket is peaked here,POSITIVE
india is a cheater boundary was misplaced by bhikharindia,NEGATIVE
m prahlad,POSITIVE
really goosebumps are loaded from bottom of every indians heart lv uhh team india,NEGATIVE
klassen against gods plan mr icc,NEGATIVE
what a beautiful emotional,POSITIVE
where is the batting of india,POSITIVE
rohit is best,POSITIVE
this is what you play for,POSITIVE
is it trailer wow,POSITIVE
i am getting goosebumps,NEGATIVE
i m crying,NEGATIVE
as an indian we were very happy but at the same time as a cricket lover we were all feeling bad for south africa,NEGATIVE
hardik and suriya all teams are hero,POSITIVE
i was extremely happy when india won but same time feeling sad for sa,POSITIVE
jitni bar dekhu dil garden garden ho jata hai,NEGATIVE
eyes got wet,NEGATIVE
english commentary,POSITIVE
virat kohli is the best player in the world,POSITIVE
congrats team india you did it,POSITIVE
iam only believe on jassi bhai because game changer player he is only one guy is a jaspreet bumrah,NEGATIVE
bring back rahul dravid as the coach,POSITIVE
india gtgtgt australia,POSITIVE
here to put kaala tika once again,POSITIVE
south africa real chockers of cricket,POSITIVE
congratulations all pakistani because your papa win world cup,POSITIVE
ye dekh ke khush ho jata hoon,NEGATIVE
bangladesh and pakistan eating their own shit after watching this,NEGATIVE
seriously mr editor you definitely deserve an oscar man,POSITIVE
ye match dhekar,POSITIVE
who are watching this video after newzealand crushing india in test series,NEGATIVE
tears and goosebumpsagain,NEGATIVE
klassenthe unbeaten hero,POSITIVE
best edit till date in sporting history,POSITIVE
no matter how many times you see this you will get tears in your eyes,POSITIVE
its like am watching a movie,POSITIVE
what is the name of the back ground music,NEGATIVE
raw emotion from field,POSITIVE
this is called nailbiting match,NEGATIVE
literally goosebumps,POSITIVE
love the way similar demon slayer theme put to use,POSITIVE
where can we watch full highlights of this match,POSITIVE
this is what happens when everyone in the team contributes in all over tournamentbefore this wc i thought they will not gonna win but iam extremely happy that iam wrong,NEGATIVE
congratulations pakistan wale king babar wale,POSITIVE
i feel happy for india but south africas sadness hit hard,NEGATIVE
sky won it for bharat,POSITIVE
didi india is father of pakistan,POSITIVE
south africa also played like a warrior we are proud of south africa too,POSITIVE
still that goosebumps comes in what an impact india,POSITIVE
the best video,POSITIVE
its hard to believe that still our indians are not appreciating hardik pandya they are still busy with that catch nd forgot what klassen was doing on that day i believe that hardik pandya turned that final on team indian side with klassens wicket alongwith millers wicket,NEGATIVE
on that final matchday sa came with the good plan but team india came with the gods plan,POSITIVE
miller,POSITIVE
so meaningless editing they have shown wicket of decock at first place and after that quotwhat a shotquot by decock i was confused wtf is going on,NEGATIVE
quotde cock has fallen quot commentary at its best,NEGATIVE
unsung hero hardik pandya,POSITIVE
hardik pandya thank you for taking the wicket of that beast,POSITIVE
most dangerous team in india,NEGATIVE
india cheater hai favour se jeet ta hai atleast pakistan har ta magar india ki tara bacho ki tara cheating karta ye ulta bol raha ho sida lafs hota ha india pakistan ka bapp,NEGATIVE
axar patel unseen hero,NEGATIVE
this still brings tears what an edit by icc,POSITIVE
i love indian all team i am proud to be indian,POSITIVE
i come here every now and then to take myself back to the day of the final and relive the epic moment,POSITIVE
incredible glimpse,POSITIVE
i have felt that i just watched a short film what an editing icc has done,NEGATIVE
long off long off long off,NEGATIVE
editor salary day by day,NEGATIVE
today rsa women lost world cup final i really sad to see the south africa born with bad luck i hope fans are appreciating their,POSITIVE
this video is still giving tears in eyes,POSITIVE
the main weapon is hardik p,POSITIVE
the way icc has presented this whole match is giving pure goosebumps thank you icc from,POSITIVE
lockdown kid gg aur msd krte rahte hein par jo ye match live dekha tha unko pata hoga ky value he dono ke innings ka wo dono me se koi ek b perform nai kiya hota to india har jata wo match,NEGATIVE
jitna dekhu utna kam hai,NEGATIVE
pure cinematic,POSITIVE
classic,POSITIVE
cricket is a religion in india which unites the whole country,POSITIVE
the best video i have ever seen,POSITIVE
champion team,POSITIVE
this was not quot just a world cup quot,NEGATIVE
man you monster klassen still gives me nightmare,NEGATIVE
when they won i drove to mundian to bach ke for a few days well india,POSITIVE
this video with nee singham dhan song is just mind blowing,POSITIVE
i cant remember how many times id watch this final still cant get over it,NEGATIVE
suryas catch literally saved a millions of indians from depression,POSITIVE
i would like to see the sky catch again and again for the rest of my lifeif i clear civil services this year i will tell them that catch was the motivation for me to work hardnever quit,POSITIVE
ab next trophy kab ayegi zyada wait to nhi krna pdega bhiyo,NEGATIVE
what is the gift for altaf,POSITIVE
its in air its india,POSITIVE
congratulations pakistan your father won the world cup,POSITIVE
aasu nikal gaye firse aaj dheke,NEGATIVE
literally cry,NEGATIVE
klassen literally gave me nightmares thanks arsh and hardik,POSITIVE
i never forget this match,POSITIVE
this is the real goosebumps,POSITIVE
we are proud of our our bcci cricket team,POSITIVE
moore laura martinez linda moore charles,POSITIVE
only south africa could lose from such a stage so close to victory,POSITIVE
kaha se mile ga ye full match,POSITIVE
again and again the moment giving happiness while watching it even after few months,POSITIVE
jordon walks,POSITIVE
my nation my country,POSITIVE
bhai ye video nhi goosebumps ka pitara hai bee gajab cheej hai bee motivation to peak pe chala jata hai,NEGATIVE
when pandya picked up the ball,POSITIVE
one of the greatest final in the history of icc tournaments,POSITIVE
this vedio felt like a movie the clip where david miller turns back with saddest emotions on that staircase to the dressing room was the saddest part,NEGATIVE
when i am feeling down i see this match,POSITIVE
yeahhh,POSITIVE
goose bumps every moment,POSITIVE
klassen was just one step behind to become head for us,POSITIVE
nia road,NEGATIVE
everything i see this i cry,NEGATIVE
absolute cinema with all the goosebumps and the best possible endingind,POSITIVE
mera bharat sab se mahaan,NEGATIVE
giving goosebumps every moment,POSITIVE
world test champions next year final i think india vs australia or india vs srilanka,NEGATIVE
iska highlight bhi dalo,POSITIVE
ravi shastri is just amazing,POSITIVE
i literally cry whenever i watch this video pure emotions hats off to surya pandya arshdip bumrah and whole team,NEGATIVE
the end game we all have waited for,POSITIVE
match became very interesting when klassen starting showing his class in axar patels over,POSITIVE
agr ye match hum haar jate to virat ki log dhajjiyaan uda k rakh dete sab ye kehte virat ne bahut slow khela par shukra h hum jeet gae,NEGATIVE
hardik is best,POSITIVE
countless time i watch this match it put me in tears,NEGATIVE
the good part of this final was sa played bravely and made it nail biting many a times final becomes one sided and no fun watching it,NEGATIVE
pure indian emotional cinema,POSITIVE
bhai sub surya surya kar rhe ho world cup hardik ne jitaya he but uska to naam hi nahi he comment me,NEGATIVE
orn ports,NEGATIVE
ian smith is peter drury in cricket,POSITIVE
larissa freeway,NEGATIVE
this video has the most expensive thumbnail of icc youtube channel,NEGATIVE
a year down the lane still you get the goosebumps,POSITIVE
goosebumps all the way love from nepal,POSITIVE
whebever india facinf loss or necktokeck game in league stage they are lifiting the cup,NEGATIVE
jackson eric jones lisa jackson edward,POSITIVE
suuuuuuuuuuuuuuuuper goosebumps,NEGATIVE
goyette harbor,POSITIVE
all time blockbuster surya catch,POSITIVE
labadie glen,POSITIVE
suryas catch was goosebumps moment,POSITIVE
respect for icc editors,POSITIVE
ye catch nahi ye match nahi ye trophy hai,POSITIVE
aj ye v ye dekhta hu toh khushi se ro deta hu,NEGATIVE
jettie alley,NEGATIVE
thankyou for this,POSITIVE
you will never watch such a thrilling match as this one the best match i have ever seen in my life,POSITIVE
king kohli india,POSITIVE
i can watch it infinite times love you team india,POSITIVE
bas kar kitni baar dekhega,NEGATIVE
bc highlights dekhte waqt bhi darr lagra kahi ye danav klassen south africa ko jeeta na de,NEGATIVE
everyy time watching still goosebumps,POSITIVE
goosebump match,POSITIVE
was feeling a bit low and short of emotions on a saturday evening came back and watched this video now there are too many emotions,NEGATIVE
rtgg,NEGATIVE
what a match and what a editing great editing,POSITIVE
flatley highway,POSITIVE
many months passed but still tears finds a way,POSITIVE
straight up goosebumpsbharat mata ki jay,POSITIVE
ind ka world champions,POSITIVE
imagine if we done the same in icc odi world cup in our home,NEGATIVE
cricket emotions,POSITIVE
patricia overpass,NEGATIVE
i dont know why i am getting goosebumps,NEGATIVE
how many time you will watch this me,POSITIVE
rohit sharm captaincy made this happen with bowlers and all rounders like bumrahaxarhardikrishabhsurya kumarviratarshdeep etc,POSITIVE
final ke upar ek movie banani chahiye,POSITIVE
bernita locks,POSITIVE
stiedemann rapids,NEGATIVE
mosciski forge,NEGATIVE
long of long of,NEGATIVE
vernice river,POSITIVE
the hug by klassen to miller at the end says it all,POSITIVE
dicki road,NEGATIVE
won only because of south africa choking,NEGATIVE
not using long off long off long off is just sad,NEGATIVE
yeah logo ke naseeb achi thi ke australia nahe thi saamnethanks to south africa,POSITIVE
tears amp happy,POSITIVE
editor,POSITIVE
ahh goosebumps but south africa you played like champions klassen you were the man between us and the win hats off to you man south africa you deserve our love and respect wish you guys win a world cup us indians who are true fanatic of cricket will be the most happy,POSITIVE
one amp only quotbhumrahquot legend,NEGATIVE
green roads,POSITIVE
aus be like hum world cup jeete tab to icc ne video daali nhi hmari,NEGATIVE
the moment i never forget in my whole life,POSITIVE
tiana mills,POSITIVE
goosebumps and tears still,POSITIVE
i will watch this match all my life,POSITIVE
bumrah is him,NEGATIVE
still gives a goosebumps feeling while watching yaar,POSITIVE
well played south africa,POSITIVE
pant mastermind that break,POSITIVE
goosebumps editing is,NEGATIVE
a complete movie,POSITIVE
this is the moment where hardik pandya proved himself and cry from his heart,POSITIVE
who here after gopi video,NEGATIVE
i dont know how many times i watched this video but still its make me happy,POSITIVE
i was crying while watching it believe this was the moment when we men cried to thank you indian cricket team for this moment,NEGATIVE
your grand father champion trophy muhammad amir,POSITIVE
reilly ferry,POSITIVE
huge respect to klasan and hardik pandya,POSITIVE
ready for winning champions trophy,POSITIVE
thanks for bringing home the cup the drought is over,POSITIVE
goosebumps when surya takes catch,POSITIVE
waheguru ji bless our india,POSITIVE
bhai koi hardik bhai ki tarif kyu nahi kartausne bhi apna best final over dala yaar according to the pressure,NEGATIVE
congratulations pakistan because youre grandfather won the world cup,POSITIVE
ben stokes,POSITIVE
huge respect for classes from india thank god he got out,POSITIVE
the cinematic masterpiece,POSITIVE
pandyaviratskybumrah and rohit and whole squad,POSITIVE
best match ever,POSITIVE
still getting goosebumps watching this,POSITIVE
very emotional,POSITIVE
zieme lock,POSITIVE
kya bat hai icc,POSITIVE
the caption rohit sharma,POSITIVE
shane way,POSITIVE
romteee khadhe ho gya bhaii aaj bhi,POSITIVE
congratulations australia your son win the final,POSITIVE
every time when i watch this it gives me goosbooms india india,NEGATIVE
if it wasnt for virat kohli india would have lost by a huge number,NEGATIVE
ya jon ladki hai isko yai nahi pata bangladesh pakistan harahi hai india father ek saire are jurm kyon kar rahe ho kya ham tumhare kaddi hai virat kholi tumhare daddy hai aata to la nahin sakte aur hamen compare kar rahe ho,NEGATIVE
brock shoals,NEGATIVE
why does this feel like an absolutely great movie india send this to the oscars instead of laapata ladies,POSITIVE
rula diya bc firse,NEGATIVE
bthe best match in the history of cricketb idgaf about others opinions because this is the reality,POSITIVE
arshdeep came clutch hero,POSITIVE
still my eyes got wet thanks so much for bringing joy and happiness to our life thanks team india,POSITIVE
word impossible is relevant till bumrah arrives,NEGATIVE
bumrah and arshdeep got nerves of steel,POSITIVE
lost count of number of times ive rewatched this,NEGATIVE
this is the great moment in my life,POSITIVE
what is the scale for the graph,POSITIVE
i am see this wc for many time i am always cry,POSITIVE
keleseen kholi hardik best moments in this,POSITIVE
catherine view,POSITIVE
bc rona nhi hai,NEGATIVE
roob parkways,NEGATIVE
love u india love u so much,POSITIVE
clasen was big wicket of match,POSITIVE
gusbum,NEGATIVE
epic rohit captaincy,POSITIVE
years after wed meet here again thats what it means to us,POSITIVE
prolly never moving on from this,NEGATIVE
i have watched this match many times but still i feel the same goosebumps what a iconic match it feels like a dream has come true moment,POSITIVE
somewhere hundreds of tv sets were broken even though they couldnt have afford a new one with claims of iccbcci and immense bouts of jealousy,NEGATIVE
i still remember my trip to mussoorie with my friends we watched a nailbiting match that had me stressed the whole time but in the end the victory transformed all that stress into sheer happiness we celebrated together on mall road and the vibe was incredible cricket is truly an emotion for us and ill never forget that day,POSITIVE
god level editing,NEGATIVE
india is the goat tera baap ha pakistan,NEGATIVE
if miller the killer is not out,NEGATIVE
vada views,POSITIVE
waelchi stravenue,NEGATIVE
goosebumps alert,POSITIVE
rohit sharma is father of cricket,POSITIVE
i hate hk and tr st,NEGATIVE
india is too good a team since so many years in icc trophy cant keep them out without icc trophy this supposed to happen before some year but better late than never,NEGATIVE
one of the greatest final i had ever seen,POSITIVE
zoila burgs,NEGATIVE
we live for these moments,POSITIVE
we cried we celebrated and that catch which caught our heart was the most magnificent thing that had ever happened to india just imagining gives goosebumps that one hour which we spent standing just to take the burden upon ourselves was paid off by our indian cricketrs,POSITIVE
man of the match is hardik pandey,POSITIVE
hardik pandya is the same guy who has been brutally booed by indian fans during iplabsolute clutch playerrespect,NEGATIVE
lenny dam,POSITIVE
rajput,POSITIVE
ruh kap jata h dubra dekhne se,NEGATIVE
shania burg,NEGATIVE
adeline ways,NEGATIVE
monahan orchard,POSITIVE
maybell ferry,NEGATIVE
emotional scene,POSITIVE
bryana stream,NEGATIVE
waelchi lodge,POSITIVE
indian players acted really amazing in ipl noone showed their true form all their skills power and form they kept under wraps and ipl finished from rohit to siraj kuldeep all starting xi they perofmed at the peak of their carrer for india till final,POSITIVE
hardik real hero,POSITIVE
what is goose bump watch this video the day which never forgotten,POSITIVE
feeling bad for south africa specially for decock and claseen but india win its the crazy moment,POSITIVE
please uplod the final,NEGATIVE
even when we lose its not so bad we laugh about it and plan our next strategy,POSITIVE
block locks,NEGATIVE
bumrah ki dot bowling aur hardin ka wicket lena india ko match jitayaa,NEGATIVE
we are so lucky being witness of last three wc finals,POSITIVE
no words for editing just,NEGATIVE
schumm crossroad,NEGATIVE
anjali valley,POSITIVE
bapu ka baldla,NEGATIVE
brown tunnel,NEGATIVE
congratulations pakistan your father win th world cup,POSITIVE
this is actually what the meaning of quotwc final match quotis,NEGATIVE
every minute are goosebumps,POSITIVE
its not surya its not kholi its not hardik its not bumrah itzzz pant the break game changer luv you india,POSITIVE
trailer of winning movie,POSITIVE
memories for life,POSITIVE
virat kohli quotthe saviorquot,NEGATIVE
never forget these moments in our lives well done india,POSITIVE
jcggc,NEGATIVE
it still feels like a dream,POSITIVE
still get tears in eyes when you see this,POSITIVE
absolutely cinematic everytime i witness this i get goosebumps,POSITIVE
can someone tell me why rishabh pants moment is important,NEGATIVE
anyone after dipression,NEGATIVE
waited for this movement in my whole teen ages,NEGATIVE
best moment of my life,POSITIVE
it a cry moment,NEGATIVE
example of quotbowlers win you tournamentquot,POSITIVE
